Rank,Word,Happiness_Score,Standard_Deviation
5548,backs,5.34,1.44
3460,backup,5.78,1.37
8907,backwards,4.22,1.37
1364,backyard,6.47,1.67
2759,bacon,5.96,2.07
9387,bacteria,3.61,1.98
9927,bad,2.64,1.47
9239,baddest,3.82,2.02
9823,badly,2.88,1.61
7732,b-after,4.86,1.16
4076,bag,5.64,1.06
9377,baghdad,3.62,1.9
4348,bags,5.58,1.09
8881,bah,4.24,1.19
8671,bail,4.44,1.72
6109,baila,5.22,1.52
5155,bailar,5.43,1.04
5167,bailey,5.42,1.16
9292,bailout,3.74,1.68
,bailouts,3.74,1.68
7486,bajo,4.94,0.85
8074,bak,4.76,0.89
976,bake,6.68,1.41
1477,baked,6.4,1.88
1253,baker,6.52,1.42
,bakes,6.68,1.41
1143,baking,6.58,1.57
2070,balance,6.18,1.61
1290,balanced,6.51,1.44
9196,bald,3.9,1.93
2356,ball,6.08,1.23
6478,baller,5.14,1.11
,ballerina,5.94,1.58
,ballerinas,5.94,1.58
2830,ballet,5.94,1.58
4867,ballin,5.48,1.63
6393,ballot,5.16,1.3
,ballots,5.16,1.3
3124,balls,5.86,1.21
5360,baltimore,5.38,1.19
7407,bam,4.94,1.39
9921,ban,2.66,1.32
,banal,3.24,1.22
,banality,3.24,1.22
723,banana,6.86,1.29
,bananas,6.86,1.29
1439,band,6.42,1.55
2140,bands,6.16,1.46
9145,bang,3.96,1.48
7408,banging,4.94,2.14
2910,bank,5.92,1.63
6852,banker,5.06,1.49
7953,bankers,4.8,1.86
3206,banking,5.84,1.65
10103,bankruptcy,2.06,1.6
2911,banks,5.92,1.24
9824,banned,2.88,1.29
3795,banner,5.7,1.04
3291,bar,5.82,1.8
6568,bare,5.12,1.72
,bared,5.12,1.72
8882,barely,4.24,1.57
,bares,5.12,1.72
,baring,5.12,1.72
8481,bark,4.59,1.85
5725,barnes,5.3,0.91
6394,barometer,5.16,0.96
,barometers,5.16,0.96
5168,barrel,5.42,1.29
6295,barry,5.18,0.94
3881,bars,5.68,1.58
7327,baru,4.96,0.75
6758,base,5.08,1.05
3207,baseball,5.84,1.73
,baseballs,5.84,1.73
5925,based,5.26,0.75
6296,basement,5.18,1.02
,basements,5.18,1.02
6655,bases,5.1,1.04
8974,bash,4.16,1.94
6395,basic,5.16,1.35
4460,basically,5.56,1.01
6396,basin,5.16,1.61
